2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] JELLYJELLYUSDT | usage=11784.26% | current_oi=28871436.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1032].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] JSTUSDT | usage=9488.87% | current_oi=23247725.5 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] JTOUSDT | usage=366.25% | current_oi=2435550.59 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] JUPUSDT | usage=1933.18% | current_oi=12855632.375 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KAIAUSDT | usage=2089.03% | current_oi=13892038.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KAITOUSDT | usage=294.55% | current_oi=2665718.0 | limit=905000.0 | threshold=95.00% | source=leverageMargins[1018].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KASUSDT | usage=5197.03% | current_oi=34560273.78 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KATUSDT | usage=1062.24% | current_oi=21244803.0 | limit=2000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KAVAUSDT | usage=13585.75% | current_oi=22076847.95 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KERNELUSDT | usage=12891.44% | current_oi=31584017.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KGENUSDT | usage=3213.08% | current_oi=7872056.62 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KITEUSDT | usage=296.09% | current_oi=14804594.6 | limit=5000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KMNOUSDT | usage=5256.35% | current_oi=34954711.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KNCUSDT | usage=3957.88% | current_oi=6431547.5 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] KSMUSDT | usage=228.52% | current_oi=559880.8 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LABUSDT | usage=273.21% | current_oi=13660698.45 | limit=5000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LAUSDT | usage=1400.98% | current_oi=14009807.4 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LAYERUSDT | usage=985.15% | current_oi=6551270.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
